Real Madrid,"['Kylian Mbappé', 'Kylian Mbappé', 'Vinicius Junior', 'Kylian Mbappé', 'Vinicius Junior', 'Vinicius Junior']"
FC Barcelona,"['Robert Lewandowski', 'Robert Lewandowski', 'Raphinha', 'Robert Lewandowski', 'İlkay Gündoğan', 'Robert Lewandowski']"
Atlético de Madrid,"['Antoine Griezmann', 'Álvaro Morata', 'Ángel Correa', 'Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann']"
Real Sociedad,"['André Silva', 'Brais Méndez', 'Mikel Oyarzabal', 'Carlos Fernández', 'Brais Méndez', 'Mikel Oyarzabal']"
Athletic Bilbao,"['Ander Herrera', 'Álex Berenguer', 'Oihan Sancet', 'Álex Berenguer', 'Gorka Guruzeta', 'Oihan Sancet']"
Valencia CF,"['Alberto Marí', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu']"
Villarreal CF,"['Álex Baena', 'Dani Parejo', 'Dani Parejo', 'Gerard Moreno', 'Álex Baena', 'Dani Parejo']"
Girona FC,"['Cristhian Stuani', 'Bojan Miovski', 'Abel Ruiz', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk']"
Real Betis Balompié,"['Ez Abde', 'Giovani Lo Celso', 'Ez Abde', 'Isco', 'Isco', 'Nabil Fekir']"
Sevilla FC,"['Dodi Lukébakio', 'Youssef En-Nesyri', 'Lucas Ocampos', 'Sergio Ramos', 'Sergio Ramos', 'Nemanja Gudelj']"
UD Las Palmas,"['Sandro Ramírez', 'Munir El Haddadi', 'Marc Cardona', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera']"
CA Osasuna,"['Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir']"
RCD Mallorca,"['Abdón Prats', 'Abdón Prats', 'Abdón Prats', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi']"
Deportivo Alavés,"['Luka Romero', 'Asier Villalibre', 'Giuliano Simeone', 'Luis Rioja', 'Luis Rioja', 'Luis Rioja']"
Celta de Vigo,"['Iago Aspas', 'Iago Aspas', 'Iago Aspas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas']"
RCD Espanyol Barcelona,"['Javi Puado', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite']"
Getafe CF,"['Luis Milla', 'Borja Mayoral', 'Mason Greenwood', 'Mason Greenwood', 'Borja Mayoral', 'Mason Greenwood']"
Rayo Vallecano,"['Raúl de Tomás', 'Radamel Falcao', 'Bebé', 'Radamel Falcao', 'Isi Palazón', 'Randy Nteka']"
CD Leganés,"['Dani Raba', 'Diego García', 'Dani Raba', 'Yvan Neyou', 'Miguel de la Fuente', 'Diego García']"
Real Valladolid CF,"['Mamadou Sylla', 'Marcos André', 'Monchu', 'Monchu', 'Cyle Larin', 'Cyle Larin']"
