Real Madrid,"['Kylian Mbappé', 'Vinicius Junior', 'Kylian Mbappé', 'Vinicius Junior', 'Vinicius Junior', 'Vinicius Junior']"
FC Barcelona,"['Robert Lewandowski', 'Raphinha', 'Robert Lewandowski', 'İlkay Gündoğan', 'Robert Lewandowski', 'Robert Lewandowski']"
Atlético de Madrid,"['Antoine Griezmann', 'Álvaro Morata', 'Ángel Correa', 'Antoine Griezmann', 'Antoine Griezmann', 'Antoine Griezmann']"
Real Sociedad,"['André Silva', 'Brais Méndez', 'Mikel Oyarzabal', 'Carlos Fernández', 'Brais Méndez', 'Mikel Oyarzabal']"
Athletic Bilbao,"['Oihan Sancet', 'Álex Berenguer', 'Gorka Guruzeta', 'Oihan Sancet', 'Asier Villalibre', 'Álex Berenguer']"
Valencia CF,"['Alberto Marí', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu', 'Pepelu']"
Girona FC,"['Abel Ruiz', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk', 'Artem Dovbyk']"
Villarreal CF,"['Dani Parejo', 'Dani Parejo', 'Gerard Moreno', 'Álex Baena', 'Dani Parejo', 'Gerard Moreno']"
Real Betis Balompié,"['Giovani Lo Celso', 'Ez Abde', 'Isco', 'Isco', 'Nabil Fekir', 'Marc Roca']"
Sevilla FC,"['Youssef En-Nesyri', 'Lucas Ocampos', 'Sergio Ramos', 'Sergio Ramos', 'Nemanja Gudelj', 'Gonzalo Montiel']"
UD Las Palmas,"['Sandro Ramírez', 'Munir El Haddadi', 'Marc Cardona', 'Jonathan Viera', 'Jonathan Viera', 'Jonathan Viera']"
CA Osasuna,"['Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Ante Budimir', 'Aimar Oroz', 'Chimy Ávila']"
RCD Mallorca,"['Abdón Prats', 'Abdón Prats', 'Abdón Prats', 'Vedat Muriqi', 'Vedat Muriqi', 'Vedat Muriqi']"
Deportivo Alavés,"['Luka Romero', 'Asier Villalibre', 'Giuliano Simeone', 'Luis Rioja', 'Luis Rioja', 'Luis Rioja']"
Celta de Vigo,"['Iago Aspas', 'Iago Aspas', 'Iago Aspas', 'Anastasios Douvikas', 'Iago Aspas', 'Anastasios Douvikas']"
Rayo Vallecano,"['Raúl de Tomás', 'Radamel Falcao', 'Bebé', 'Radamel Falcao', 'Isi Palazón', 'Randy Nteka']"
RCD Espanyol Barcelona,"['Javi Puado', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite', 'Martin Braithwaite']"
Getafe CF,"['Mason Greenwood', 'Mason Greenwood', 'Borja Mayoral', 'Mason Greenwood', 'Borja Mayoral', 'Borja Mayoral']"
CD Leganés,"['Dani Raba', 'Diego García', 'Dani Raba', 'Yvan Neyou', 'Miguel de la Fuente', 'Diego García']"
Real Valladolid CF,"['Mamadou Sylla', 'Marcos André', 'Monchu', 'Monchu', 'Cyle Larin', 'Cyle Larin']"
