Alavés,"{'Kike García ': 'ATT', 'Toni Martínez ': 'ATT', 'Carlos Martín ': 'ATT', 'Conechny ': 'ATT', 'Villalibre ': 'ATT', 'Carlos Vicente ': 'MID', 'Guridi ': 'MID', 'Guevara ': 'MID', 'Blanco ': 'MID', 'Joan Jordan ': 'MID', 'Benavídez ': 'MID', 'Tomás Mendes ': 'MID', 'Tenaglia ': 'DEF', 'Abqar ': 'DEF', 'Manu Sánchez ': 'DEF', 'Moussa Diarra ': 'DEF', 'Adrián Pica ': 'DEF', 'Mouriño ': 'DEF', 'Sedlar ': 'DEF', 'Hugo Novoa ': 'DEF', 'Garcés ': 'DEF', 'Sivera ': 'GK', 'Owono ': 'GK', 'Stoichkov ': 'MID', 'Rebbach ': 'MID', 'Luka Romero ': 'MID'}"
Athletic de Bilbao,"{'Iñaki Williams ': 'ATT', 'Nico Williams ': 'ATT', 'Guruzeta ': 'ATT', 'Djaló ': 'ATT', 'Nico Serrano ': 'ATT', 'Martón ': 'ATT', 'Berenguer ': 'MID', 'Sancet ': 'MID', 'Galarreta ': 'MID', 'Jauregizar ': 'MID', 'Beñat Prados ': 'MID', 'Unai Gómez ': 'MID', 'Vesga ': 'MID', 'Peio Canales ': 'MID', 'Vivian ': 'DEF', 'De Marcos ': 'DEF', 'Yeray ': 'DEF', 'Yuri ': 'DEF', 'Aitor Paredes ': 'DEF', 'Gorosabel ': 'DEF', 'Adama Boiro ': 'DEF', 'Unai Núñez ': 'DEF', 'Lekue ': 'DEF', 'Agirrezabala ': 'GK', 'Unai Simón ': 'GK', 'Gastesi ': 'GK', 'Ander Herrera ': 'MID', 'Álex Padilla ': 'GK'}"
Atlético de Madrid,"{'Griezmann ': 'ATT', 'Julián Álvarez ': 'ATT', 'Sorloth ': 'ATT', 'Giuliano Simeone ': 'ATT', 'Correa ': 'ATT', 'Adrián Niño ': 'ATT', 'Lemar ': 'ATT', 'Borja Garcés ': 'ATT', 'Mollejo ': 'ATT', 'Rodrigo De Paul ': 'MID', 'Pablo Barrios ': 'MID', 'Koke ': 'MID', 'Gallagher ': 'MID', 'Lino ': 'MID', 'Riquelme ': 'MID', 'Javi Serrano ': 'MID', 'Giménez ': 'DEF', 'Marcos Llorente ': 'DEF', 'Nahuel Molina ': 'DEF', 'Lenglet ': 'DEF', 'Javi Galán ': 'DEF', 'Le Normand ': 'DEF', 'Reinildo ': 'DEF', 'Azpilicueta ': 'DEF', 'Witsel ': 'DEF', 'Oblak ': 'GK', 'J. Musso ': 'GK', 'Antonio Gomis ': 'GK', 'Marcos Paulo ': 'ATT'}"
Barcelona,"{'Raphinha ': 'ATT', 'Lewandowski ': 'ATT', 'Lamine Yamal ': 'ATT', 'Ferrán Torres  ': 'ATT', 'Pau Víctor ': 'ATT', 'Ansu Fati ': 'ATT', 'Pedri ': 'MID', 'Marc Casadó ': 'MID', 'Dani Olmo ': 'MID', 'Fermín ': 'MID', 'Pablo Torre ': 'MID', 'De Jong ': 'MID', 'Gavi ': 'MID', 'Marc Bernal ': 'MID', 'Koundé ': 'DEF', 'Íñigo Martínez ': 'DEF', 'Cubarsí ': 'DEF', 'Balde ': 'DEF', 'Eric García ': 'DEF', 'Gerard Martín ': 'DEF', 'Héctor Fort ': 'DEF', 'Sergi Domínguez ': 'DEF', 'Ronald Araújo ': 'DEF', 'Christensen ': 'DEF', 'Iñaki Peña ': 'GK', 'Ter Stegen ': 'GK', 'Szczesny ': 'GK'}"
Betis,"{'Abde Ezzalzouli ': 'ATT', 'Vitor Roque ': 'ATT', 'Chimy Ávila ': 'ATT', 'Bakambu ': 'ATT', 'Jesús Rodríguez ': 'ATT', 'Juanmi ': 'ATT', 'Antony ': 'ATT', 'Pablo García ': 'ATT', 'Lo Celso ': 'MID', 'Fornals ': 'MID', 'S. Altimira ': 'MID', 'Cardoso ': 'MID', 'Aitor Ruibal ': 'MID', 'Marc Roca ': 'MID', 'Isco ': 'MID', 'William Carvalho ': 'MID', 'Iker Losada ': 'MID', 'Mateo Flores ': 'MID', 'Guirao ': 'MID', 'Diego Llorente ': 'DEF', 'Bartra ': 'DEF', 'Sabaly ': 'DEF', 'Natan ': 'DEF', 'Perraud ': 'DEF', 'Bellerin ': 'DEF', 'Ricardo Rodríguez ': 'DEF', 'Ángel Ortiz ': 'DEF', 'Arribas ': 'DEF', 'Busto ': 'DEF', 'Nobel Mendy ': 'DEF', 'Vieites ': 'GK', 'Adrián  ': 'GK', 'Rui Silva ': 'GK', 'Assane Diao ': 'ATT'}"
Celta de Vigo,"{'Iago Aspas ': 'ATT', 'Borja Iglesias ': 'ATT', 'Douvikas ': 'ATT', 'Pablo Durán ': 'ATT', 'Alfon ': 'ATT', 'Bamba ': 'ATT', 'Hugo Álvarez ': 'MID', 'Fran Beltrán ': 'MID', 'Ilaix Moriba ': 'MID', 'Swedberg ': 'MID', 'Hugo Sotelo ': 'MID', 'Damián Rodríguez ': 'MID', 'Jailson ': 'MID', 'Cervi ': 'MID', 'Fer López ': 'MID', 'De la Torre ': 'MID', 'Mingueza ': 'DEF', 'Starfelt ': 'DEF', 'Javi Rodríguez ': 'DEF', 'Marcos Alonso ': 'DEF', 'Carreira ': 'DEF', 'Manquillo ': 'DEF', 'Carlos Domínguez ': 'DEF', 'Ristić ': 'DEF', 'Yoel Lago ': 'DEF', 'Aidoo ': 'DEF', 'Guaita ': 'GK', 'Iván Villar ': 'GK', 'Marc Vidal ': 'GK', 'Allende ': 'ATT'}"
Espanyol,"{'Puado ': 'ATT', 'Alejo Véliz ': 'ATT', 'Irvin Cardona ': 'ATT', 'Cheddira ': 'ATT', 'Roberto Fernández ': 'ATT', 'Omar Sadik ': 'ATT', 'Alex Král ': 'MID', 'Jofre ': 'MID', 'Pol Lozano ': 'MID', 'Roca ': 'MID', 'Gragera ': 'MID', 'Álvaro Aguado ': 'MID', 'Edu Expósito ': 'MID', 'Pere Milla ': 'MID', 'Smith ': 'MID', 'Bauza ': 'MID', 'Salvi ': 'MID', 'Pablo Ramón ': 'DEF', 'Carlos Romero ': 'DEF', 'Kumbulla ': 'DEF', 'Cabrera ': 'DEF', 'Tejero ': 'DEF', 'Omar ': 'DEF', 'Brian Olivan ': 'DEF', 'Sergi Gómez ': 'DEF', 'Calero ': 'DEF', 'Urko González ': 'DEF', 'Joan García ': 'GK', 'Pacheco ': 'GK', 'Ünüvar ': 'ATT'}"
Getafe,"{'Christantus Uche ': 'ATT', 'Carles Pérez ': 'ATT', 'Yildirim ': 'ATT', 'Álvaro Rodríguez ': 'ATT', 'Coba da Costa ': 'ATT', 'Peter ': 'ATT', 'Borja Mayoral ': 'ATT', 'Luis Milla ': 'MID', 'Arambarri ': 'MID', 'Álex Sola ': 'MID', 'Carles Aleñá ': 'MID', 'Jesús Santiago ': 'MID', 'Risco ': 'MID', 'Alderete ': 'DEF', 'Diego Rico ': 'DEF', 'Djené ': 'DEF', 'Juan Iglesias ': 'DEF', 'Nyom ': 'DEF', 'Domingos Duarte ': 'DEF', 'Berrocal ': 'DEF', 'Nabil ': 'DEF', 'Angileri ': 'DEF', 'David Soria  ': 'GK', 'Letacek ': 'GK', 'Chrisantus Uche ': 'MID', 'John Patrick ': 'MID'}"
Girona,"{'Bryan Gil ': 'ATT', 'Danjuma ': 'ATT', 'Stuani ': 'ATT', 'Abel Ruiz ': 'ATT', 'Asprilla ': 'ATT', 'Tsygankov ': 'ATT', 'Miovski ': 'ATT', 'Portu ': 'ATT', 'Min-su Kim ': 'ATT', 'Jastin ': 'ATT', 'Iván Martín  ': 'MID', 'Van de Beek ': 'MID', 'Yangel Herrera ': 'MID', 'Oriol Romeu ': 'MID', 'Jhon Solís ': 'MID', 'Misehouy ': 'MID', 'Clúa ': 'MID', 'Artero ': 'MID', 'Gutiérrez ': 'DEF', 'David López ': 'DEF', 'Blind ': 'DEF', 'Arnau Martínez ': 'DEF', 'Krejci ': 'DEF', 'Francés ': 'DEF', 'Juanpe ': 'DEF', 'Ferrán Ruiz ': 'DEF', 'Yaakobishvili ': 'DEF', 'Gazzaniga ': 'GK', 'Krapyvtsov ': 'GK', 'Pau López ': 'GK', 'Juan Carlos ': 'GK'}"
Las Palmas,"{'Sandro ': 'ATT', 'Fabio Silva ': 'ATT', 'McBurnie ': 'ATT', 'Jaime Mata ': 'ATT', 'Marc Cardona ': 'ATT', 'Pejiño ': 'ATT', 'Moleiro ': 'MID', 'Kirian Rodríguez ': 'MID', 'Javi Muñoz ': 'MID', 'Essugo ': 'MID', 'Campaña ': 'MID', 'Januzaj ': 'MID', 'Manu Fuster ': 'MID', 'Marvin Park ': 'MID', 'Loiodice ': 'MID', 'Benito ': 'MID', 'Álex Suárez ': 'DEF', 'McKenna ': 'DEF', 'Álex Muñoz ': 'DEF', 'Mika Mármol ': 'DEF', 'Viti ': 'DEF', 'Herzog ': 'DEF', 'Pelmard ': 'DEF', 'Sinkgraven ': 'DEF', 'Cillessen ': 'GK', 'Horkas ': 'GK', 'Valles ': 'GK', 'Fábio Silva ': 'ATT', 'Fabio ': 'MID', 'Iván Gil ': 'MID'}"
